Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides IEF1_1	Peptides IEF1_2	Peptides IEF2_1	Peptides IEF2_2	Razor + unique peptides IEF1_1	Razor + unique peptides IEF1_2	Razor + unique peptides IEF2_1	Razor + unique peptides IEF2_2	Unique peptides IEF1_1	Unique peptides IEF1_2	Unique peptides IEF2_1	Unique peptides IEF2_2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Fraction 15	Fraction 16	Fraction 17	Fraction 18	Fraction 19	Fraction 20	Fraction 21	Fraction 22	Fraction 23	Fraction 24	Q-value	Score	Identification type IEF1_1	Identification type IEF1_2	Identification type IEF2_1	Identification type IEF2_2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L IEF1_1	Ratio H/L IEF1_2	Ratio H/L IEF2_1	Ratio H/L IEF2_2	Ratio H/L normalized IEF1_1	Ratio H/L normalized IEF1_2	Ratio H/L normalized IEF2_1	Ratio H/L normalized IEF2_2	Ratio H/L variability [%] IEF1_1	Ratio H/L variability [%] IEF1_2	Ratio H/L variability [%] IEF2_1	Ratio H/L variability [%] IEF2_2	Ratio H/L count IEF1_1	Ratio H/L count IEF1_2	Ratio H/L count IEF2_1	Ratio H/L count IEF2_2	Ratio H/L iso-count IEF1_1	Ratio H/L iso-count IEF1_2	Ratio H/L iso-count IEF2_1	Ratio H/L iso-count IEF2_2	Ratio H/L type IEF1_1	Ratio H/L type IEF1_2	Ratio H/L type IEF2_1	Ratio H/L type IEF2_2	Sequence coverage IEF1_1 [%]	Sequence coverage IEF1_2 [%]	Sequence coverage IEF2_1 [%]	Sequence coverage IEF2_2 [%]	Intensity	Intensity L	Intensity H	Intensity IEF1_1	Intensity L IEF1_1	Intensity H IEF1_1	Intensity IEF1_2	Intensity L IEF1_2	Intensity H IEF1_2	Intensity IEF2_1	Intensity L IEF2_1	Intensity H IEF2_1	Intensity IEF2_2	Intensity L IEF2_2	Intensity H IEF2_2	Only identified by site	Reverse	Potential contaminant	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	genename	Fastas	Human_GN	UniprotID	Normalized Ratio L/H	Normalized Ratio L/H IEF1_1	Normalized Ratio L/H IEF1_2	Normalized Ratio L/H IEF2_1	Normalized Ratio L/H IEF2_2	significant
A6QPR6;O43251;A1A5R1;Q8BP71;Q95KI0;Q5NVN8;Q9JJ43;Q9NWB1	A6QPR6;O43251;A1A5R1;Q8BP71;Q95KI0;Q5NVN8;Q9JJ43;Q9NWB1	2;2;2;2;1;1;1;1	2;2;2;2;1;1;1;1	2;2;2;2;1;1;1;1	RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1	RBFOX2;Rbfox2;Rbfox1;RBFOX1	sp|A6QPR6|RFOX2_BOVIN RNA binding protein fox-1 homolog 2 OS=Bos taurus GN=RBFOX2 PE=2 SV=2;sp|O43251|RFOX2_HUMAN RNA binding protein fox-1 homolog 2 OS=Homo sapiens GN=RBFOX2 PE=1 SV=3;sp|A1A5R1|RFOX2_RAT RNA binding protein fox-1 homolog 2 OS=Rattus norv	8	2	2	2	2	1	0	0	2	1	0	0	2	1	0	0	10.4	10.4	10.4	41.971000000000004	394	394;390;432;449;376;382;396;397	4.5	1.0	2.0											1.0												0.0	12.345999999999998	By MS/MS	By matching			0.55313	0.76373	26.750999999999998	3	0	Median	0.6779999999999999				0.94099				29.518				2	1	0	0	0	0	0	0	Median	Median	Median	Median	10.4	3.8	0.0	0.0	82369000	46391000	35979000	56482000	32972000	23509000	25888000	13418000	12470000	0	0	0	0	0	0				6437;22798	True;True	6748;24331	42763;42764;42765;148269	36378;36379;125802	36379;125802			RBFOX2	['sp|A6QPR6|RFOX2_BOVIN RNA binding protein fox-1 homolog 2 OS=Bos taurus GN=RBFOX2 PE=2 SV=2', 'sp|O43251|RFOX2_HUMAN RNA binding protein fox-1 homolog 2 OS=Homo sapiens GN=RBFOX2 PE=1 SV=3', 'sp|A1A5R1|RFOX2_RAT RNA binding protein fox-1 homolog 2 OS=Rattus norv']	RBFOX2	A6QPR6	0.36220053158422855	0.10915836071526937				True
A1AVA0;A5CXX7;REV__C5DJH6	A1AVA0;A5CXX7;REV__C5DJH6	1;1;1	1;1;1	1;1;1			sp|A1AVA0|RBFA_RUTMC Ribosome-binding factor A OS=Ruthia magnifica subsp. Calyptogena magnifica GN=rbfA PE=3 SV=1;sp|A5CXX7|RBFA_VESOH Ribosome-binding factor A OS=Vesicomyosocius okutanii subsp. Calyptogena okutanii (strain HA) GN=rbfA PE=3 SV=1;sp|C5DJH6	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.2	6.2	6.2	12.648	112	112;114;838	16.1								1.0						2.0		2.0	2.0	4.0	1.0						0.0071167	5.8787	By matching	By MS/MS	By matching	By MS/MS	0.9355700000000001	1.2812	7.1896	12	0	Median	0.93765	0.92711	0.97526	0.96391	1.2726	1.2438	1.4432	1.4017	3.927	3.237	1.5735	3.0877	4	4	2	2	0	0	0	0	Linear	Median	Median	Median	6.2	6.2	6.2	6.2	17698000000	9102700000	8595700000	7869200000	4055900000	3813300000	7441000000	3866000000	3574900000	1325700000	660950000	664710000	1062600000	519860000	542750000				8816	True	9273	58337;58338;58339;58340;58341;58342;58343;58344;58345;58346;58347;58348	49455;49456	49455				['sp|A1AVA0|RBFA_RUTMC Ribosome-binding factor A OS=Ruthia magnifica subsp. Calyptogena magnifica GN=rbfA PE=3 SV=1', 'sp|A5CXX7|RBFA_VESOH Ribosome-binding factor A OS=Vesicomyosocius okutanii subsp. Calyptogena okutanii (strain HA) GN=rbfA PE=3 SV=1', 'sp|C5DJH6']		A1AVA0	-0.3960264780343771	-0.35860586916100784	-0.3420897581936077	-0.5290197621904872	-0.517499001116146	True
Q9K085;A1KSZ5	Q9K085;A1KSZ5	1;1	1;1	1;1			sp|Q9K085|BIOD_NEIMB ATP-dependent dethiobiotin synthetase BioD OS=Neisseria meningitidis serogroup B (strain MC58) GN=bioD PE=3 SV=1;sp|A1KSZ5|BIOD_NEIMF ATP-dependent dethiobiotin synthetase BioD OS=Neisseria meningitidis serogroup C / serotype 2a (strai	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.0	6.0	6.0	23.701	215	215;215	5.0					4.0																				0.00029061	6.6329	By matching	By MS/MS	By MS/MS	By MS/MS	0.8877700000000001	1.2834	48.115	4	0	Median													1	1	1	1	0	0	0	0	Median	Median	Median	Median	6.0	6.0	6.0	6.0	378710000	188640000	190080000	38774000	20021000	18753000	207830000	105120000	102700000	81203000	42203000	39000000	50909000	21290000	29620000				10489	True	11046	69829;69830;69831;69832	59021;59022;59023	59023	7;8	58;62		['sp|Q9K085|BIOD_NEIMB ATP-dependent dethiobiotin synthetase BioD OS=Neisseria meningitidis serogroup B (strain MC58) GN=bioD PE=3 SV=1', 'sp|A1KSZ5|BIOD_NEIMF ATP-dependent dethiobiotin synthetase BioD OS=Neisseria meningitidis serogroup C / serotype 2a (strai']		Q9K085	-0.3203668342427148					True
Q1RML1;Q16763;Q921J4;B5DFI8;A1L3K1;Q8AVU2;Q76EZ2;Q28F89;C1C3R6	Q1RML1;Q16763;Q921J4;B5DFI8;A1L3K1;Q8AVU2;Q76EZ2;Q28F89	3;3;3;3;3;2;2;2;1	3;3;3;3;3;2;2;2;1	3;3;3;3;3;2;2;2;1	Ubiquitin-conjugating enzyme E2 S;Ubiquitin-conjugating enzyme E2 S-A;Ubiquitin-conjugating enzyme E2 S-B;Ubiquitin-conjugating enzyme E2 S-C	UBE2S;Ube2s;ube2s-a;ube2s-b;ube2s-c;ube2s	sp|Q1RML1|UBE2S_BOVIN Ubiquitin-conjugating enzyme E2 S OS=Bos taurus GN=UBE2S PE=2 SV=2;sp|Q16763|UBE2S_HUMAN Ubiquitin-conjugating enzyme E2 S OS=Homo sapiens GN=UBE2S PE=1 SV=2;sp|Q921J4|UBE2S_MOUSE Ubiquitin-conjugating enzyme E2 S OS=Mus musculus GN=U	9	3	3	3	2	3	1	1	2	3	1	1	2	3	1	1	19.7	19.7	19.7	23.896	223	223;222;223;223;223;211;211;211;211	6.12		3.0				2.0	1.0					2.0													0.0	17.839000000000002	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.44988999999999996	0.67075	15.276	8	0	Leave out requantified	0.52213	0.55798			0.72673	0.77493			14.164000000000001	21.669			3	3	1	1	0	0	0	0	Median	Leave out requantified	Median	Median	14.3	19.7	5.4	5.4	410960000	272250000	138710000	114410000	74528000	39881000	166810000	108810000	58001000	24948000	17141000	7807100	104800000	71777000	33021000				2282;12547;14443	True;True;True	2404;13212;15381	17515;17516;17517;83375;83376;83377;96776;96777	15073;69936;69937;81245	15073;69936;81245			UBE2S	['sp|Q1RML1|UBE2S_BOVIN Ubiquitin-conjugating enzyme E2 S OS=Bos taurus GN=UBE2S PE=2 SV=2', 'sp|Q16763|UBE2S_HUMAN Ubiquitin-conjugating enzyme E2 S OS=Homo sapiens GN=UBE2S PE=1 SV=2', 'sp|Q921J4|UBE2S_MOUSE Ubiquitin-conjugating enzyme E2 S OS=Mus musculus GN=U']	UBE2S	Q1RML1	0.6602468233746135	0.4860345801452903	0.3904373524591088			True
Q0VCT9;A1YFU7;O35740;Q99967	Q0VCT9;A1YFU7;O35740;Q99967	1;1;1;1	1;1;1;1	1;1;1;1	Cbp/p300-interacting transactivator 2	Cited2;CITED2	sp|Q0VCT9|CITE2_BOVIN Cbp/p300-interacting transactivator 2 OS=Bos taurus GN=CITED2 PE=2 SV=1;sp|A1YFU7|CITE2_SAGLB Cbp/p300-interacting transactivator 2 OS=Saguinus labiatus GN=CITED2 PE=3 SV=1;sp|O35740|CITE2_MOUSE Cbp/p300-interacting transactivator 2 O	4	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	4.0	4.0	4.0	28.709	273	273;273;269;270	22.2																						9.0	3.0		0.0	7.2586	By MS/MS	By MS/MS	By MS/MS		0.52231	0.7863899999999999	4.5605	12	0	Linear	0.53727	0.5455800000000001	0.4624		0.75549	0.75588	0.69258		3.0903	1.0157	3.327		4	4	4	0	0	0	0	0	Linear	Median	Median	Median	4.0	4.0	4.0	0.0	261730000	171410000	90321000	101890000	65799000	36094000	133780000	87449000	46332000	26057000	18162000	7895100	0	0	0				356	True	368;369	2949;2950;2951;2952;2953;2954;2955;2956;2957;2958;2959;2960	2482;2483;2484;2485;2486;2487;2488;2489;2490;2491	2490	20;21	5;6	Cited2	['sp|Q0VCT9|CITE2_BOVIN Cbp/p300-interacting transactivator 2 OS=Bos taurus GN=CITED2 PE=2 SV=1', 'sp|A1YFU7|CITE2_SAGLB Cbp/p300-interacting transactivator 2 OS=Saguinus labiatus GN=CITED2 PE=3 SV=1', 'sp|O35740|CITE2_MOUSE Cbp/p300-interacting transactivator 2 O']	CITED2	Q0VCT9	0.4449127975122971	0.4447963507676834	0.4228600054099905	0.5476257262240335		True
A2VE31;A1YG32;Q8CFE6;Q96QD8	A2VE31;A1YG32;Q8CFE6;Q96QD8	2;2;2;2	2;2;2;2	2;2;2;2	Sodium-coupled neutral amino acid transporter 2	Slc38a2;SLC38A2	sp|A2VE31|S38A2_BOVIN Sodium-coupled neutral amino acid transporter 2 OS=Bos taurus GN=SLC38A2 PE=2 SV=1;sp|A1YG32|S38A2_PANPA Sodium-coupled neutral amino acid transporter 2 OS=Pan paniscus GN=SLC38A2 PE=3 SV=1;sp|Q8CFE6|S38A2_MOUSE Sodium-coupled neutral	4	2	2	2	2	2	1	1	2	2	1	1	2	2	1	1	4.3	4.3	4.3	56.214	506	506;506;504;506	4.41		4.0	3.0	3.0		3.0	4.0																		0.0	12.982000000000001	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.9154700000000001	1.2811	3.3418	13	0	Leave out requantified	0.92475	0.9270299999999999		0.86751	1.2838	1.287		1.2601	4.9499	0.7905800000000001		4.3177	5	5	1	2	0	0	0	0	Leave out requantified	Leave out requantified	Median	Median	4.3	4.3	4.2	4.2	4859600000	2548700000	2310900000	1534600000	814580000	720030000	2549700000	1324500000	1225200000	69219000	35023000	34196000	706030000	374570000	331450000				18095;18096	True;True	19344;19345	117154;117155;117156;117157;117158;117159;117160;117161;117162;117163;117164;117165;117166;117167;117168;117169;117170	98607;98608;98609;98610;98611;98612;98613;98614;98615;98616;98617;98618;98619;98620;98621	98613;98616			Slc38a2	['sp|A2VE31|S38A2_BOVIN Sodium-coupled neutral amino acid transporter 2 OS=Bos taurus GN=SLC38A2 PE=2 SV=1', 'sp|A1YG32|S38A2_PANPA Sodium-coupled neutral amino acid transporter 2 OS=Pan paniscus GN=SLC38A2 PE=3 SV=1', 'sp|Q8CFE6|S38A2_MOUSE Sodium-coupled neutral']	SLC38A2	A2VE31	-0.364693486685556	-0.3386197612723822	-0.3419652631680509		-0.3654809404799214	True
A8YXY3;A1Z623;Q9ERR7;Q923V8;O60613	A8YXY3;A1Z623;Q9ERR7;Q923V8;O60613	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	15 kDa selenoprotein	Sep15;SEP15	sp|A8YXY3|SEP15_BOVIN 15 kDa selenoprotein OS=Bos taurus GN=SEP15 PE=2 SV=2;sp|A1Z623|SEP15_PIG 15 kDa selenoprotein OS=Sus scrofa GN=SEP15 PE=2 SV=2;sp|Q9ERR7|SEP15_MOUSE 15 kDa selenoprotein OS=Mus musculus GN=Sep15 PE=1 SV=3;sp|Q923V8|SEP15_RAT 15 kDa s	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.4	7.4	7.4	17.974	162	162;162;162;162;162	2.4		4.0		1.0																					0.0055502	5.9584	By MS/MS	By matching	By MS/MS	By MS/MS	1.0984	1.5852	26.217	5	0	Median				0.8464799999999999				1.226				36.343	1	1	1	2	0	0	0	0	Median	Median	Median	Median	7.4	7.4	7.4	7.4	85233000	41707000	43526000	15739000	6620800	9118500	18636000	9380100	9256100	6756600	3582400	3174200	44101000	22124000	21977000				6247	True	6545	41257;41258;41259;41260;41261	35041;35042;35043;35044	35041			Sep15	['sp|A8YXY3|SEP15_BOVIN 15 kDa selenoprotein OS=Bos taurus GN=SEP15 PE=2 SV=2', 'sp|A1Z623|SEP15_PIG 15 kDa selenoprotein OS=Sus scrofa GN=SEP15 PE=2 SV=2', 'sp|Q9ERR7|SEP15_MOUSE 15 kDa selenoprotein OS=Mus musculus GN=Sep15 PE=1 SV=3', 'sp|Q923V8|SEP15_RAT 15 kDa s']	SELENOF	A8YXY3	-0.627512502565627				-0.3300765339924487	True
Q5R8M1;A2VDV2;Q91VJ4;Q15208	Q5R8M1;A2VDV2;Q91VJ4;Q15208	1;1;1;1	1;1;1;1	1;1;1;1	Serine/threonine-protein kinase 38	Stk38;STK38	sp|Q5R8M1|STK38_PONAB Serine/threonine-protein kinase 38 OS=Pongo abelii GN=STK38 PE=1 SV=1;sp|A2VDV2|STK38_BOVIN Serine/threonine-protein kinase 38 OS=Bos taurus GN=STK38 PE=1 SV=1;sp|Q91VJ4|STK38_MOUSE Serine/threonine-protein kinase 38 OS=Mus musculus G	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.7	3.7	3.7	54.19	465	465;465;465;465	6.0						4.0																			0.0061955	5.9216	By MS/MS	By matching	By matching	By matching	0.91596	1.3162	10.890999999999998	4	0	Median													1	1	1	1	0	0	0	0	Median	Median	Median	Median	3.7	3.7	3.7	3.7	218260000	116650000	101610000	93913000	52087000	41827000	62617000	32918000	29699000	31468000	15790000	15678000	30261000	15853000	14409000				22366	True	23881	145751;145752;145753;145754	123671	123671			Stk38	['sp|Q5R8M1|STK38_PONAB Serine/threonine-protein kinase 38 OS=Pongo abelii GN=STK38 PE=1 SV=1', 'sp|A2VDV2|STK38_BOVIN Serine/threonine-protein kinase 38 OS=Bos taurus GN=STK38 PE=1 SV=1', 'sp|Q91VJ4|STK38_MOUSE Serine/threonine-protein kinase 38 OS=Mus musculus G']	STK38	Q5R8M1	-0.3654654742438064					True
A2VE10;Q5R5X4;Q6P4E1;Q6P2L7	A2VE10;Q5R5X4;Q6P4E1;Q6P2L7	1;1;1;1	1;1;1;1	1;1;1;1	Protein CASC4	CASC4;Casc4	sp|A2VE10|CASC4_BOVIN Protein CASC4 OS=Bos taurus GN=CASC4 PE=2 SV=1;sp|Q5R5X4|CASC4_PONAB Protein CASC4 OS=Pongo abelii GN=CASC4 PE=2 SV=1;sp|Q6P4E1|CASC4_HUMAN Protein CASC4 OS=Homo sapiens GN=CASC4 PE=1 SV=1;sp|Q6P2L7|CASC4_MOUSE Protein CASC4 OS=Mus mu	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.5	4.5	4.5	43.199	380	380;436;433;435	6.0						4.0																			0.0054245	5.941	By matching	By MS/MS	By matching	By MS/MS	0.95757	1.4207	4.6049	4	0	Median													1	1	1	1	0	0	0	0	Median	Median	Median	Median	4.5	4.5	4.5	4.5	98771000	50985000	47786000	36498000	18267000	18231000	20381000	10392000	9989500	19465000	8169500	11295000	22427000	14156000	8270500				8435	True	8880	55836;55837;55838;55839	47248;47249	47248			CASC4	['sp|A2VE10|CASC4_BOVIN Protein CASC4 OS=Bos taurus GN=CASC4 PE=2 SV=1', 'sp|Q5R5X4|CASC4_PONAB Protein CASC4 OS=Pongo abelii GN=CASC4 PE=2 SV=1', 'sp|Q6P4E1|CASC4_HUMAN Protein CASC4 OS=Homo sapiens GN=CASC4 PE=1 SV=1', 'sp|Q6P2L7|CASC4_MOUSE Protein CASC4 OS=Mus mu']	CASC4	A2VE10	-0.4295588314409768					True
Q5RCR6;A4FUG8;Q91WG2;Q62835;Q9H5N1	Q5RCR6;A4FUG8;Q91WG2;Q62835;Q9H5N1	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	Rab GTPase-binding effector protein 2	Rabep2;RABEP2	sp|Q5RCR6|RABE2_PONAB Rab GTPase-binding effector protein 2 OS=Pongo abelii GN=RABEP2 PE=2 SV=2;sp|A4FUG8|RABE2_BOVIN Rab GTPase-binding effector protein 2 OS=Bos taurus GN=RABEP2 PE=2 SV=1;sp|Q91WG2|RABE2_MOUSE Rab GTPase-binding effector protein 2 OS=Mus	5	2	2	2	1	1	2	1	1	1	2	1	1	1	2	1	4.4	4.4	4.4	63.608000000000004	569	569;585;554;554;569	11.9	1.0	1.0													4.0	2.0									0.0	11.88	By matching	By MS/MS	By MS/MS	By MS/MS	0.5676800000000001	0.8327200000000001	23.228	7	0	Leave out requantified			0.58085	0.67301			0.85326	1.0014			26.674	14.409	1	0	4	2	0	0	0	0	Median	Median	Leave out requantified	Median	2.1	2.1	4.4	2.1	227200000	166590000	60610000	45849000	29843000	16006000	64530000	64530000	0	55224000	30492000	24732000	61595000	41723000	19872000				13042;20033	True;True	13746;21419	86760;86761;129449;129450;129451;129452;129453;129454	72559;109742;109743;109744;109745;109746;109747;109748	72559;109748			Rabep2	['sp|Q5RCR6|RABE2_PONAB Rab GTPase-binding effector protein 2 OS=Pongo abelii GN=RABEP2 PE=2 SV=2', 'sp|A4FUG8|RABE2_BOVIN Rab GTPase-binding effector protein 2 OS=Bos taurus GN=RABEP2 PE=2 SV=1', 'sp|Q91WG2|RABE2_MOUSE Rab GTPase-binding effector protein 2 OS=Mus']	RABEP2	Q5RCR6	0.3247412081677719			0.21860147712143974	0.0007715061529394682	True
